2.898002929687500568e+02,3.453867187500000000e+02,1.200911102294921733e+02,6.183937377929687500e+02,3.370147705078124432e+02,7.332553710937500000e+03,1.013622031250000000e+05,2.144632812500000000e+04,8.554989843750000000e+04,7.148500488281249091e+03,4.453904062500000000e+05,1.693591093750000000e+05,7.724847656250000000e+04,2.230935750000000000e+06,4.117872187500000000e+05,2.622518800000000000e+07,4.958942500000000000e+06,4.787001600000000000e+07,1.303920000000000000e+07,1.565232600000000000e+07
1.470448374748230203e+00,1.356807231903075950e+00,1.415727376937866211e+00,1.561037182807922585e+00,1.126456499099731445e+00,2.202486515045166016e+00,2.520992279052734375e+00,2.005298376083374023e+00,1.703496813774108665e+00,2.039583921432495117e+00,1.830210089683532715e+00,2.077030658721923828e+00,1.538969635963440163e+00,1.964114904403686301e+00,1.232471466064453125e+00,nan,1.262184829711913920e+02,nan,1.569791197776794212e+00,nan
1.145548224449157493e+00,1.144289255142211914e+00,1.079856872558593528e+00,1.148020863533020020e+00,9.949635267257690430e-01,1.353143215179443137e+00,1.647185087203979492e+00,1.227954149246216042e+00,1.284804582595825417e+00,1.216132998466491699e+00,1.265887975692749023e+00,1.463037967681884544e+00,1.197874426841736062e+00,1.407839894294738992e+00,1.035640954971313477e+00,nan,4.705667877197265625e+01,nan,1.226987719535827415e+00,nan
1.056703805923462136e+00,1.051873445510864258e+00,1.036526918411254883e+00,1.024544000625610352e+00,1.020531892776489258e+00,1.151739120483398438e+00,1.365786671638488770e+00,1.084123969078063965e+00,1.135187625885009544e+00,1.070612549781799094e+00,1.144261717796325906e+00,1.241804718971252441e+00,1.131826162338256836e+00,1.235479593276977539e+00,1.008472084999084695e+00,nan,1.794719886779785156e+01,nan,1.102680087089538352e+00,nan
1.032878518104553223e+00,1.036197185516357422e+00,9.904425144195555530e-01,1.017222523689270020e+00,9.776878952980040394e-01,1.090649843215942383e+00,1.138388037681579590e+00,9.699041843414305530e-01,1.065547585487365501e+00,1.033830404281616211e+00,1.077706813812255859e+00,1.162950634956360085e+00,1.036260008811950906e+00,1.159901380538940430e+00,1.049489617347717285e+00,nan,7.209021091461180752e+00,nan,1.052528023719787598e+00,nan
1.003043770790100098e+00,9.938250780105587490e-01,9.789950847625730201e-01,9.879623055458065517e-01,9.976798892021182530e-01,1.015376925468444824e+00,1.154771327972412109e+00,9.697499275207519531e-01,1.045639514923095703e+00,1.002834677696228027e+00,1.026532888412475586e+00,1.070509314537048340e+00,1.065223693847656250e+00,1.071097850799560325e+00,1.027883887290954368e+00,nan,3.294123172760009766e+00,nan,9.921671152114868164e-01,nan
1.016754031181335227e+00,1.004807829856872337e+00,9.784079194068907581e-01,9.845442771911617763e-01,9.952881336212158203e-01,1.016807556152343528e+00,1.087089896202087402e+00,9.767016172409054287e-01,1.018372416496276855e+00,9.034265875816344105e-01,9.996680617332456276e-01,1.008798599243164062e+00,1.007651805877685547e+00,1.087185502052307129e+00,1.033568263053894265e+00,nan,1.855535387992858887e+00,nan,9.888405799865720436e-01,nan
1.009115219116210938e+00,9.912502765655514247e-01,9.896644949913023792e-01,1.008142352104187012e+00,9.500468969345090553e-01,1.007474660873413308e+00,1.051995635032653809e+00,9.737864732742308460e-01,1.030020833015441895e+00,9.509508013725279651e-01,1.010591387748718262e+00,1.053586125373840332e+00,1.030988216400146706e+00,1.038470387458801270e+00,1.006013274192810059e+00,nan,1.329798460006713867e+00,nan,1.011490583419799805e+00,nan
1.008551359176635520e+00,9.865137934684752308e-01,9.902192354202271618e-01,9.407114386558530494e-01,9.931783676147462048e-01,9.763725399971008301e-01,1.050732374191284180e+00,9.550469517707823597e-01,9.902502894401550293e-01,9.521666765213011585e-01,9.229466319084167480e-01,1.037626743316650391e+00,1.031085014343261497e+00,1.071479558944701926e+00,1.000001549720763938e+00,nan,1.127536177635192871e+00,nan,1.018717765808105469e+00,nan
1.011602997779846191e+00,9.844277501106262207e-01,9.656768441200254127e-01,9.746882319450378418e-01,9.832360744476319470e-01,9.551855325698850319e-01,1.028398156166076660e+00,9.432753920555112526e-01,9.903170466423033558e-01,9.729532003402707740e-01,9.590305089950560413e-01,1.018738031387329102e+00,9.973841905593872070e-01,1.029223918914794700e+00,9.954981803894041859e-01,nan,1.022059798240661621e+00,nan,9.943926930427552380e-01,nan
